time,avg_rss12,var_rss12,avg_rss13,var_rss13,avg_rss23,var_rss23,cycle,class
1,32.0,4.85,17.5,3.35,22.5,3.2,0,0
2,40.5,1.12,14.0,2.24,21.75,1.3,0,0
3,40.5,2.6,11.33,4.5,18.25,5.31,0,0
4,34.5,1.5,20.67,2.87,19.0,2.83,0,0
5,34.5,1.5,21.25,3.27,18.25,4.38,0,0
6,32.25,2.86,21.5,2.29,23.5,2.6,0,0
7,35.75,4.44,13.0,3.94,22.75,1.79,0,0
8,41.5,1.12,13.0,2.94,19.75,1.79,0,0
9,39.75,3.27,8.5,7.5,20.0,2.45,0,0
10,30.75,2.49,20.25,4.92,16.33,5.25,0,0
11,32.75,0.43,17.75,3.27,20.5,6.06,0,0
12,32.75,2.17,19.0,4.06,21.0,3.67,0,0
13,32.25,6.18,16.5,4.72,22.75,3.03,0,0
14,41.25,0.83,14.25,3.9,22.25,1.3,0,0
15,42.33,2.49,14.0,4.42,18.0,2.45,0,0
16,34.25,1.79,20.5,4.56,19.5,2.69,0,0
17,33.0,0.0,16.0,6.68,19.75,2.68,0,0
18,32.25,3.27,19.5,3.35,22.0,3.67,0,0
19,36.75,4.97,14.0,1.63,23.25,1.79,0,0
20,42.75,0.83,17.5,4.09,21.75,0.83,0,0
21,43.25,2.49,14.25,5.76,15.25,3.49,0,0
22,34.5,3.35,11.25,7.89,15.0,5.43,0,0
23,33.75,1.3,19.25,1.79,16.75,4.02,0,0
24,32.75,3.27,18.75,2.49,19.0,5.7,0,0
25,35.75,4.44,17.33,4.64,21.0,4.55,0,0
26,40.75,1.09,11.8,2.93,21.2,2.4,0,0
27,42.25,0.43,18.0,0.0,20.0,0.82,0,0
28,38.75,3.9,10.0,3.32,16.75,1.09,0,0
29,34.75,1.79,18.75,3.9,18.75,1.3,0,0
30,35.0,1.41,21.75,2.49,18.0,3.27,0,0
31,31.0,3.85,21.5,2.87,24.0,2.53,0,0
32,38.0,5.66,17.0,3.56,21.0,3.0,0,0
33,41.0,0.82,13.0,5.89,20.5,3.04,0,0
34,42.75,2.28,16.25,3.03,18.25,3.9,0,0
35,33.25,3.63,15.75,3.9,18.67,3.09,0,0
36,33.75,1.3,23.33,0.94,11.67,7.76,0,0
37,33.25,2.77,17.5,2.6,22.0,1.0,0,0
38,36.75,3.9,19.5,3.2,20.75,3.83,0,0
39,41.0,1.58,14.0,2.94,21.25,2.59,0,0
40,41.25,1.92,15.0,3.56,19.0,1.41,0,0
41,35.25,2.49,18.5,4.15,16.25,3.56,0,0
42,35.5,1.5,24.0,0.0,17.5,2.5,0,0
43,31.25,1.09,19.0,1.22,23.0,0.71,0,0
44,34.0,2.12,21.0,3.0,24.67,3.3,0,0
45,40.0,2.83,19.25,4.82,21.67,4.11,0,0
46,39.25,0.43,18.0,3.67,19.0,5.1,0,0
47,44.5,0.87,16.0,2.12,19.33,2.36,0,0
48,38.5,4.15,18.5,2.29,14.25,4.82,0,0
49,34.0,1.41,22.33,0.94,15.75,4.44,0,0
50,34.67,1.25,16.33,0.94,22.75,1.09,0,0
51,37.0,1.41,18.0,1.63,24.5,2.29,0,0
52,39.0,1.87,14.75,3.63,18.75,3.27,0,0
53,35.75,2.77,12.25,3.63,15.25,1.64,0,0
54,31.75,4.02,13.5,1.5,18.5,3.2,0,0
55,43.25,2.05,19.75,2.17,14.75,2.17,0,0
56,42.0,1.22,17.5,1.5,19.5,2.87,0,0
57,35.25,2.49,12.5,8.05,19.5,1.12,0,0
58,31.0,1.22,19.0,2.83,19.75,1.79,0,0
59,35.0,3.81,17.5,6.06,20.5,2.29,0,0
60,35.25,3.77,16.67,2.36,20.5,0.87,0,0
61,35.25,2.49,15.33,2.05,19.75,2.68,0,0
62,42.5,2.5,17.75,3.11,18.0,4.95,0,0
63,37.75,2.77,14.5,6.06,15.5,5.89,0,0
64,33.75,1.3,18.33,0.47,16.33,4.99,0,0
65,34.0,2.0,17.0,0.71,20.5,1.5,0,0
66,33.25,3.49,16.25,3.03,22.75,1.79,0,0
67,38.25,1.48,10.67,6.6,20.67,0.47,0,0
68,38.25,2.49,15.0,3.56,16.0,2.12,0,0
69,43.67,1.25,17.0,0.82,19.67,3.4,0,0
70,39.67,1.7,16.5,3.35,14.0,1.0,0,0
71,34.5,1.5,18.75,2.28,14.0,4.06,0,0
72,35.25,2.49,20.25,0.83,21.0,3.67,0,0
73,35.75,3.34,18.0,5.72,21.75,1.3,0,0
74,37.5,1.5,15.75,2.17,20.75,1.79,0,0
75,40.5,1.66,15.0,2.12,21.0,2.12,0,0
76,43.0,1.58,12.5,4.77,17.5,3.91,0,0
77,37.67,1.25,18.0,2.16,15.67,4.92,0,0
78,35.25,1.3,19.75,2.77,13.5,7.3,0,0
79,34.5,1.5,20.5,0.5,21.25,1.79,0,0
80,31.25,6.61,18.67,4.19,23.0,2.55,0,0
81,37.75,1.92,17.5,2.6,20.0,1.87,0,0
82,41.5,2.87,11.75,4.92,20.25,3.77,0,0
83,40.67,3.09,16.0,2.94,16.5,1.5,0,0
84,36.25,0.43,16.75,5.17,15.25,5.45,0,0
85,33.0,0.0,21.33,2.49,7.0,1.0,0,0
86,37.67,3.4,16.0,4.06,22.33,0.47,0,0
87,36.5,5.5,12.0,6.04,19.75,2.59,0,0
88,39.25,1.09,12.5,2.29,21.0,1.41,0,0
89,44.0,1.0,17.0,1.22,17.67,4.03,0,0
90,36.0,0.0,18.25,1.79,19.67,1.25,0,0
91,35.25,1.3,19.25,5.07,16.5,6.69,0,0
92,34.25,1.3,19.75,1.79,16.0,4.18,0,0
93,33.75,1.3,16.75,2.05,22.5,1.12,0,0
94,31.75,4.49,21.0,1.87,22.25,2.28,0,0
95,38.33,1.7,16.67,1.25,22.0,1.58,0,0
96,40.25,2.05,13.0,1.58,20.25,0.83,0,0
97,43.25,2.49,12.75,2.49,19.0,1.87,0,0
98,36.75,1.3,17.5,5.77,17.75,6.8,0,0
99,33.75,1.3,19.5,2.69,21.33,0.47,0,0
100,35.25,2.49,17.75,2.17,20.75,2.38,0,0
101,34.0,5.66,22.0,0.82,21.75,3.77,0,0
102,37.5,2.6,18.0,3.08,22.75,2.49,0,0
103,40.25,1.3,15.75,2.95,22.25,1.09,0,0
104,42.5,2.29,18.33,2.49,17.0,6.16,0,0
105,37.0,1.73,15.0,4.95,14.5,3.5,0,0
106,35.25,1.3,20.25,2.59,15.25,6.26,0,0
107,31.75,7.36,16.67,3.86,21.0,2.94,0,0
108,39.25,2.05,17.75,5.17,22.75,1.3,0,0
109,38.0,0.82,15.75,4.26,20.33,1.25,0,0
110,43.67,1.25,16.33,2.36,21.5,2.29,0,0
111,40.75,1.79,16.25,2.86,14.75,2.77,0,0
112,34.67,1.25,17.67,5.44,13.33,4.71,0,0
113,34.25,1.3,19.0,1.41,15.67,8.26,0,0
