cycle,time,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,class
0,0,1.715569,0.596368,-0.827021,-0.508704,0.218397,-0.26101,0
0,1,16.974134,9.894371,-13.991681,-3.361176,0.455437,-16.334463,0
0,2,13.604473,18.32803,17.853537,33.353413,-10.272628,9.510903,0
0,3,14.863594,4.7427,16.313206,-2.863126,-4.386575,7.785038,0
0,4,4.817901,-0.088003,13.285055,-0.314278,-0.095881,0.990775,0
0,5,0.730966,-2.425763,6.714307,-1.914965,-0.711121,1.656618,0
0,6,0.15377,-1.001352,3.714852,-0.039951,-0.751071,1.472845,0
0,7,0.883719,-0.222836,0.987356,0.889566,-0.926854,1.598024,0
0,8,0.674285,1.741779,0.09234,0.612576,-0.822982,1.558073,0
0,9,1.359283,1.796943,0.595735,0.356892,-0.894893,1.297062,0
0,10,0.736964,3.278575,1.14139,0.45011,-0.436793,0.849616,0
0,11,0.898284,1.265017,0.750659,0.604586,-0.063921,0.279654,0
0,12,2.22972,-0.242079,1.704739,0.708457,-0.02397,-0.130505,0
0,13,1.135512,1.412042,-1.855803,0.67117,0.785695,-0.492724,0
0,14,0.714103,0.893333,2.335362,0.455437,-0.181109,0.010653,0
0,15,0.056339,-0.211228,0.054499,0.692477,0.48207,-0.159802,0
0,16,0.396141,-1.586509,-4.298498,0.034624,1.094646,-0.351565,0
0,17,0.543438,-1.794769,-4.495937,-0.950824,1.339676,-0.918864,0
0,18,1.114413,-0.029258,-0.333915,-1.193191,0.793685,-0.711121,0
0,19,4.145067,1.509451,1.603008,-0.274327,0.857606,-1.12927,0
0,20,0.545887,1.482749,-0.345585,-0.311615,0.713784,-1.233142,0
0,21,1.195542,-0.084651,-0.339292,-0.250357,0.601922,-1.318369,0
0,22,1.374535,0.374677,-0.984065,-0.218397,0.404833,-1.475509,0
0,23,1.624563,1.555582,0.407283,-0.420813,0.22106,-1.185201,0
0,24,1.624563,1.555582,0.407283,-0.420813,0.22106,-1.185201,0
0,25,1.267305,2.15844,0.062186,-0.159802,0.743081,-0.705794,0
0,26,0.897964,1.425628,-0.665805,0.218397,0.633883,-0.764388,0
0,27,1.581385,2.041662,0.527007,-0.386189,0.753734,-0.641873,0
0,28,1.581385,2.041662,0.527007,-0.386189,0.753734,-0.641873,0
0,29,0.415751,0.003858,2.627875,-0.306288,0.348902,-0.399506,0
1,0,0.681357,0.833392,0.210581,-0.46609,-0.231713,0.423476,3
1,1,15.742111,-9.076906,6.975369,3.40379,-13.055852,-0.65519,3
1,2,15.742111,-9.076906,6.975369,3.40379,-13.055852,-0.65519,3
1,3,23.714512,4.501778,8.84298,7.923533,-7.063264,10.019608,3
1,4,27.750542,3.893601,-7.066487,6.75964,-1.904311,10.381826,3
1,5,17.139744,3.273446,-7.089055,0.580615,1.811093,6.29355,3
1,6,5.992669,9.968546,-4.803428,1.222488,0.135832,2.152005,3
