Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.6282051282051282,0.6429233056992512,,0.6229564828676228,37.135315895080566
ExtraTreesClassifier,0.6196581196581197,0.6203432431525042,,0.6229854641289488,0.5130765438079834
RandomForestClassifier,0.5854700854700855,0.5962053803721592,,0.574569837097179,1.92525053024292
XGBClassifier,0.5811965811965812,0.5911647902881583,,0.5785125824781723,32.945831060409546
LinearDiscriminantAnalysis,0.5683760683760684,0.584962971362554,,0.5594394416354715,0.30225038528442383
NuSVC,0.5726495726495726,0.5782026634244294,,0.5679353889399079,0.43504810333251953
GaussianNB,0.5427350427350427,0.5487321929726695,,0.5031251245143705,0.15290307998657227
CalibratedClassifierCV,0.5213675213675214,0.5303739630196758,,0.5139201342365114,105.17614674568176
LogisticRegression,0.5170940170940171,0.5265895926735205,,0.5154674901760782,1.1806464195251465
KNeighborsClassifier,0.5256410256410257,0.525689473513878,,0.5217625666400795,0.1465892791748047
SGDClassifier,0.5128205128205128,0.5193147706827206,,0.4970605846189806,0.5352520942687988
PassiveAggressiveClassifier,0.5085470085470085,0.5159039234049329,,0.4993201811577681,2.277946949005127
RidgeClassifierCV,0.5085470085470085,0.5119993170706592,,0.4995930329851604,0.20189833641052246
LinearSVC,0.49572649572649574,0.49947306809939734,,0.49140478006324756,25.97584629058838
SVC,0.4700854700854701,0.4823527093970626,,0.4333496062797869,0.39327120780944824
Perceptron,0.4658119658119658,0.47260783853528504,,0.4518793717378735,0.4882540702819824
BaggingClassifier,0.45726495726495725,0.46804590019693004,,0.44760983579115665,7.095913648605347
RidgeClassifier,0.452991452991453,0.4553729994822336,,0.4448059000559905,0.12015676498413086
NearestCentroid,0.44017094017094016,0.4456057778762719,,0.4139794949718498,0.10619592666625977
BernoulliNB,0.405982905982906,0.4206651991313453,,0.3586334481448692,0.10348367691040039
DecisionTreeClassifier,0.3418803418803419,0.3563321643059831,,0.3406885196094106,1.0451431274414062
ExtraTreeClassifier,0.32905982905982906,0.3392904636157429,,0.3319857702495553,0.08900713920593262
AdaBoostClassifier,0.11965811965811966,0.15384615384615385,,0.026219394640447275,8.911025524139404
QuadraticDiscriminantAnalysis,0.1282051282051282,0.12844481500760946,,0.1295471952290563,0.182969331741333
LabelSpreading,0.0811965811965812,0.08738191632928474,,0.02592922643895767,0.12841296195983887
LabelPropagation,0.0811965811965812,0.08738191632928474,,0.02592922643895767,0.14973711967468262
DummyClassifier,0.05128205128205128,0.07692307692307693,,0.0050031269543464665,0.08726620674133301
