Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
LGBMClassifier,0.6709401709401709,0.6791049535783013,,0.6690866717392119,38.345088481903076
XGBClassifier,0.594017094017094,0.6117597305627324,,0.588692997946831,31.928107261657715
RandomForestClassifier,0.5854700854700855,0.5947896411182183,,0.5810139417755343,1.9960293769836426
ExtraTreesClassifier,0.5769230769230769,0.5872483445272516,,0.5687875953858722,0.5455095767974854
NuSVC,0.5683760683760684,0.5777825616599341,,0.5606167515663961,0.43218302726745605
GaussianNB,0.5427350427350427,0.5517227830947713,,0.5010867221862878,0.16202187538146973
LinearDiscriminantAnalysis,0.5341880341880342,0.5505278606991489,,0.5337293105492683,0.26378893852233887
LogisticRegression,0.5341880341880342,0.54685826019451,,0.5345698110146393,0.5825839042663574
CalibratedClassifierCV,0.5341880341880342,0.5422195834482145,,0.5364865586407814,97.15410208702087
KNeighborsClassifier,0.5299145299145299,0.5407448485840598,,0.5281642761244937,0.14660906791687012
PassiveAggressiveClassifier,0.5213675213675214,0.5346235876640372,,0.5119732331478358,2.2769312858581543
LinearSVC,0.5042735042735043,0.5102878424203635,,0.49654052988469916,23.184625387191772
SVC,0.4829059829059829,0.49473142489194444,,0.45386185327488504,0.3899269104003906
RidgeClassifierCV,0.48717948717948717,0.4940048588285229,,0.4827821386948891,0.15912818908691406
Perceptron,0.47863247863247865,0.4877257708863578,,0.47127284533999925,0.4706699848175049
SGDClassifier,0.4658119658119658,0.4807573226118791,,0.42571010847454915,0.5191383361816406
BaggingClassifier,0.452991452991453,0.45797989382926796,,0.4508735733848856,7.02430534362793
RidgeClassifier,0.44871794871794873,0.45207848025353753,,0.44944298978374536,0.11701464653015137
NearestCentroid,0.4358974358974359,0.4438857019873981,,0.41263119841100415,0.10559320449829102
BernoulliNB,0.3717948717948718,0.3832547485343959,,0.32595931097153735,0.1091463565826416
DecisionTreeClassifier,0.36752136752136755,0.3676268030588935,,0.3765219595321841,1.0001194477081299
ExtraTreeClassifier,0.29914529914529914,0.2943746222518601,,0.30161526025789187,0.09100937843322754
AdaBoostClassifier,0.19230769230769232,0.22372886401524175,,0.1295585073362851,8.58944034576416
QuadraticDiscriminantAnalysis,0.17094017094017094,0.17496987091818156,,0.1760307774513531,0.19600200653076172
LabelSpreading,0.0811965811965812,0.08738191632928474,,0.02592922643895767,0.1459352970123291
LabelPropagation,0.0811965811965812,0.08738191632928474,,0.02592922643895767,0.14307856559753418
DummyClassifier,0.05128205128205128,0.07692307692307693,,0.0050031269543464665,0.08719396591186523
