Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.45555555555555555,0.4545179648086625,,0.4558272931686658,0.7795650959014893
LGBMClassifier,0.4222222222222222,0.41769072228374554,,0.4218368193103407,45.85113477706909
GaussianNB,0.3925925925925926,0.39801371969976623,,0.35123467603347047,0.23424172401428223
XGBClassifier,0.3851851851851852,0.3827553217669497,,0.3840150844613993,50.53338098526001
NuSVC,0.3814814814814815,0.3800839793281654,,0.36111392512333546,1.0760431289672852
RandomForestClassifier,0.37777777777777777,0.3740922234526886,,0.3761419202587355,2.577756643295288
NearestCentroid,0.36666666666666664,0.37229881875230714,,0.3375929513907815,0.2203369140625
SVC,0.3592592592592593,0.3719444444444444,,0.28840864121138304,1.1617615222930908
AdaBoostClassifier,0.34814814814814815,0.360327611664821,,0.2796237745906489,13.058011770248413
BernoulliNB,0.337037037037037,0.346704503506829,,0.27103629873004925,0.1790144443511963
LogisticRegression,0.34444444444444444,0.34150178417620275,,0.34054853408520763,0.703768253326416
Perceptron,0.34814814814814815,0.3371222468315492,,0.3305412404342287,0.6358466148376465
ExtraTreeClassifier,0.3333333333333333,0.330270702596284,,0.3405449901412246,0.15806150436401367
SGDClassifier,0.32592592592592595,0.32807062876830323,,0.2927461115882168,0.8681643009185791
BaggingClassifier,0.32222222222222224,0.3196739264181125,,0.33005614854162985,11.237166404724121
DecisionTreeClassifier,0.29259259259259257,0.28561123415774575,,0.29043671297557566,1.734116554260254
PassiveAggressiveClassifier,0.2777777777777778,0.28407315122431404,,0.22380559206811904,1.755237340927124
RidgeClassifierCV,0.2814814814814815,0.27888150609080836,,0.2670858339925508,0.3059065341949463
LinearDiscriminantAnalysis,0.27037037037037037,0.27105112587670727,,0.26437114962381236,0.827925443649292
LabelSpreading,0.25555555555555554,0.2659025470653377,,0.1976219151098678,0.24756193161010742
LabelPropagation,0.25555555555555554,0.2659025470653377,,0.1976219151098678,0.24406766891479492
LinearSVC,0.24074074074074073,0.2428113079857266,,0.22491309358711112,26.54219079017639
RidgeClassifier,0.21851851851851853,0.21984772978959025,,0.17458465368341244,0.2315211296081543
KNeighborsClassifier,0.21481481481481482,0.20858834748369634,,0.20805555441141493,0.22633647918701172
CalibratedClassifierCV,0.1925925925925926,0.1976058201058201,,0.1907963860843442,97.98738121986389
QuadraticDiscriminantAnalysis,0.2,0.19623200442967884,,0.19728282368805247,0.363997220993042
DummyClassifier,0.14814814814814814,0.16666666666666666,,0.038231780167264036,0.17644858360290527
