Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
XGBClassifier,0.4444444444444444,0.4402593207825765,,0.4410485607746655,51.276875495910645
LGBMClassifier,0.43703703703703706,0.43324812353882125,,0.43392052134402037,52.08745718002319
ExtraTreesClassifier,0.4222222222222222,0.41959825273778756,,0.41598211201310065,0.7151637077331543
RandomForestClassifier,0.4148148148148148,0.4096234772978959,,0.40822957057333736,2.44014310836792
GaussianNB,0.3962962962962963,0.4010689676387351,,0.36345667274452,0.21234703063964844
NuSVC,0.3851851851851852,0.38343084779131287,,0.3690027918084919,0.8993358612060547
NearestCentroid,0.3592592592592593,0.36392580287929127,,0.3311274451625329,0.1835479736328125
AdaBoostClassifier,0.34814814814814815,0.35823735695828723,,0.29122280574489434,12.92919397354126
SVC,0.34074074074074073,0.3542063492063492,,0.2573583831609822,0.821958065032959
BaggingClassifier,0.34444444444444444,0.3452042574135597,,0.34780869900482303,10.51033639907837
BernoulliNB,0.3333333333333333,0.34245816414421065,,0.27477146876389363,0.17991113662719727
Perceptron,0.32592592592592595,0.32670542635658917,,0.25767226889083084,0.621267557144165
SGDClassifier,0.32222222222222224,0.3250959763750461,,0.29385578017604624,0.7718055248260498
LogisticRegression,0.3111111111111111,0.3101528854435831,,0.3084654970760234,0.5611908435821533
ExtraTreeClassifier,0.3037037037037037,0.2981395348837209,,0.3014006744663956,0.15339994430541992
PassiveAggressiveClassifier,0.28888888888888886,0.29443090931463023,,0.23506785396438987,1.360252857208252
LinearDiscriminantAnalysis,0.2851851851851852,0.28197643656945987,,0.278027772919463,0.6788599491119385
LabelSpreading,0.2518518518518518,0.2618420081210779,,0.19201399756564075,0.21330881118774414
LabelPropagation,0.2518518518518518,0.2618420081210779,,0.1922066305203391,0.23347163200378418
DecisionTreeClassifier,0.25555555555555554,0.2569481358434847,,0.25704606045691314,1.4152698516845703
LinearSVC,0.24814814814814815,0.25429586563307494,,0.21637404470097593,23.288930416107178
RidgeClassifierCV,0.24444444444444444,0.24406730650916697,,0.23114202765427966,0.2613191604614258
KNeighborsClassifier,0.22962962962962963,0.22427771625446044,,0.2271261481971664,0.20871400833129883
QuadraticDiscriminantAnalysis,0.21481481481481482,0.21308354866494403,,0.21253742551916804,0.31601810455322266
RidgeClassifier,0.1925925925925926,0.1931536852467085,,0.15990987957002287,0.21358489990234375
CalibratedClassifierCV,0.1814814814814815,0.18734126984126984,,0.17122422481899607,91.97477650642395
DummyClassifier,0.14814814814814814,0.16666666666666666,,0.038231780167264036,0.1285710334777832
