Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
RandomForestClassifier,0.6717557251908397,0.5888202649480845,,0.6520358179031539,0.7074509332906279,0.6717557251908397,2.038788318634033
ExtraTreesClassifier,0.6564885496183206,0.5598680141913224,,0.634736450735183,0.7060725237442794,0.6564885496183206,0.4869868755340576
BaggingClassifier,0.6091603053435114,0.52163200208313,,0.5912565326327861,0.6614691421917452,0.6091603053435114,0.8194975852966309
GaussianNB,0.5679389312977099,0.48729005956449567,,0.5594127526786007,0.6215813084690752,0.5679389312977099,0.04506492614746094
DecisionTreeClassifier,0.5572519083969466,0.4632547277284119,,0.5457796465027774,0.5842620355519693,0.5572519083969466,0.20014238357543945
LabelSpreading,0.5587786259541985,0.44508959086026756,,0.5245446344473208,0.5477768877507722,0.5587786259541985,1.4275343418121338
LabelPropagation,0.5557251908396946,0.44130171207238883,,0.5214033549148053,0.5438233729700874,0.5557251908396946,0.40614819526672363
KNeighborsClassifier,0.5282442748091603,0.40673965758552216,,0.4927692707518149,0.5241069525645555,0.5282442748091603,0.03777813911437988
LinearDiscriminantAnalysis,0.5114503816793893,0.3955578882270611,,0.48525387829241856,0.5266892663457549,0.5114503816793893,0.17543983459472656
NearestCentroid,0.366412213740458,0.3240760179669954,,0.3516276187953174,0.43084231548670204,0.366412213740458,0.11578607559204102
LinearSVC,0.42900763358778626,0.2854246004621944,,0.3404212308966697,0.32635813186758694,0.42900763358778626,1.3189787864685059
CalibratedClassifierCV,0.4030534351145038,0.2549592324968265,,0.2980928125500845,0.26932152993652014,0.4030534351145038,5.60687518119812
ExtraTreeClassifier,0.383206106870229,0.24915250789310936,,0.3765535800817287,0.41991894248848577,0.383206106870229,0.018756628036499023
LogisticRegression,0.38625954198473283,0.24152385834716658,,0.2918140558217576,0.2726662912874336,0.38625954198473283,4.571542024612427
Perceptron,0.28549618320610687,0.10136095107899619,,0.21680914977403162,0.190632760012351,0.28549618320610687,0.23100543022155762
SGDClassifier,0.2885496183206107,0.09829850600527291,,0.21456640552987277,0.19734568926889598,0.2885496183206107,0.768136739730835
BernoulliNB,0.27633587786259545,0.0966006737623279,,0.1874856175627044,0.15009429832846985,0.27633587786259545,0.024016618728637695
PassiveAggressiveClassifier,0.29465648854961835,0.08665779709012791,,0.21469887726214149,0.18693025079754494,0.29465648854961835,0.32997775077819824
SVC,0.26106870229007634,0.06971446473326173,,0.17207135051913816,0.13491568332294043,0.26106870229007634,0.7806954383850098
RidgeClassifierCV,0.28091603053435116,0.06750195293428375,,0.14049777226295082,0.10040994728466665,0.28091603053435116,0.051166534423828125
RidgeClassifier,0.2778625954198473,0.053977476157927286,,0.1362683095835178,0.09543732195421015,0.2778625954198473,0.14930319786071777
AdaBoostClassifier,0.18625954198473282,0.013607069622107216,,0.12055875302725863,0.10590923570480026,0.18625954198473282,0.7209796905517578
DummyClassifier,0.08549618320610687,0.006493506493506494,,0.01346775319139799,0.007309597342812191,0.08549618320610687,0.014034271240234375
