Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
ExtraTreesClassifier,0.6748091603053435,0.5807033818312014,,0.6529802826961378,0.7057778685305176,0.6748091603053435,0.5032658576965332
RandomForestClassifier,0.6595419847328244,0.568939800800703,,0.6397402130146645,0.6856031767701146,0.6595419847328244,1.5387749671936035
BaggingClassifier,0.5969465648854961,0.5107496826481789,,0.583410420523474,0.6462915535724817,0.5969465648854961,0.8421802520751953
GaussianNB,0.5603053435114503,0.4807790580346972,,0.5420527653047518,0.5892657003725705,0.5603053435114503,0.05119013786315918
LabelPropagation,0.5419847328244275,0.41736646811834793,,0.515139612294223,0.5466995206680819,0.5419847328244275,0.596463680267334
LabelSpreading,0.5389312977099237,0.4136713537089477,,0.5042353028514073,0.5203979102736426,0.5389312977099237,1.7429075241088867
KNeighborsClassifier,0.5053435114503817,0.3895937082967158,,0.46598985428134687,0.48160744884328655,0.5053435114503817,0.0636894702911377
DecisionTreeClassifier,0.49923664122137407,0.3737330338834098,,0.4794107475227041,0.510538065102267,0.49923664122137407,0.19066286087036133
LinearDiscriminantAnalysis,0.4763358778625954,0.35104604042573967,,0.45922489982523623,0.5048071193135685,0.4763358778625954,0.21196770668029785
NearestCentroid,0.37251908396946565,0.3159090909090909,,0.36564502972716045,0.4464574564639729,0.37251908396946565,0.1097414493560791
ExtraTreeClassifier,0.42748091603053434,0.30798628063665656,,0.4260529233550258,0.46148877276300637,0.42748091603053434,0.01976323127746582
LinearSVC,0.433587786259542,0.3062579337955278,,0.35148090550345235,0.354036560578372,0.433587786259542,1.4321281909942627
CalibratedClassifierCV,0.36793893129770994,0.21383369137128533,,0.2545557336378171,0.21838439126586603,0.36793893129770994,7.642198324203491
LogisticRegression,0.366412213740458,0.2042016567392507,,0.2672499745329362,0.23679767290486775,0.366412213740458,4.558619737625122
BernoulliNB,0.2870229007633588,0.10634866386746086,,0.1953529645890699,0.15725779045159646,0.2870229007633588,0.023637056350708008
SVC,0.2748091603053435,0.08286015363083032,,0.1760894731678425,0.14097089291557705,0.2748091603053435,0.7991409301757812
Perceptron,0.19541984732824427,0.0759361878722781,,0.16365386732940318,0.24035877366875694,0.19541984732824427,0.350034236907959
PassiveAggressiveClassifier,0.24427480916030533,0.07478029489307685,,0.22022871729145052,0.24367651286523165,0.24427480916030533,0.3712739944458008
SGDClassifier,0.2778625954198473,0.06530897047814341,,0.2028114750695396,0.17698094844614157,0.2778625954198473,0.7014744281768799
RidgeClassifierCV,0.27022900763358776,0.04109095791426618,,0.12865843917640016,0.09078910243137066,0.27022900763358776,0.08603072166442871
RidgeClassifier,0.27022900763358776,0.04109095791426618,,0.12865843917640016,0.09078910243137066,0.27022900763358776,0.09722566604614258
AdaBoostClassifier,0.19541984732824427,0.014292224066660156,,0.11167740414794472,0.08239032469889507,0.19541984732824427,0.8581662178039551
DummyClassifier,0.08549618320610687,0.006493506493506494,,0.01346775319139799,0.007309597342812191,0.08549618320610687,0.01470041275024414
