Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Precision,Recall,Time Taken
NuSVC,0.782608695652174,0.8166666666666667,,0.7973084886128364,0.8857142857142858,0.782608695652174,0.012555599212646484
SVC,0.7391304347826086,0.7833333333333333,,0.7563146997929607,0.8799171842650104,0.7391304347826086,0.01689624786376953
GaussianNB,0.7391304347826086,0.7666666666666666,0.9299415418341248,0.7395560960778352,0.8228260869565218,0.7391304347826086,0.024181604385375977
BernoulliNB,0.6521739130434783,0.7266666666666666,0.9399281451711119,0.6204278812974465,0.782608695652174,0.6521739130434783,0.013617753982543945
NearestCentroid,0.6521739130434783,0.6666666666666667,0.9256031169141951,0.5587395696091348,0.49420289855072463,0.6521739130434783,0.04188990592956543
BaggingClassifier,0.6086956521739131,0.6333333333333333,0.8275489448258327,0.5507246376811594,0.546583850931677,0.6086956521739131,0.040157318115234375
ExtraTreesClassifier,0.6086956521739131,0.6166666666666667,0.9517015044003871,0.5700483091787439,0.5587991718426502,0.6086956521739131,0.10379457473754883
RandomForestClassifier,0.6086956521739131,0.61,0.9148510662846374,0.6015810276679843,0.6956521739130435,0.6086956521739131,0.07682514190673828
LogisticRegression,0.6521739130434783,0.6,0.8255389112166605,0.6159420289855071,0.7531055900621119,0.6521739130434783,0.09794306755065918
LinearDiscriminantAnalysis,0.6086956521739131,0.5333333333333334,0.8562454730175822,0.6123007427355254,0.6240165631469979,0.6086956521739131,0.4145658016204834
Perceptron,0.4782608695652174,0.5033333333333333,,0.46640316205533594,0.4782608695652174,0.4782608695652174,0.01233530044555664
PassiveAggressiveClassifier,0.4782608695652174,0.4966666666666666,,0.4606625258799172,0.5,0.4782608695652174,0.015617609024047852
LinearSVC,0.4782608695652174,0.4966666666666666,,0.4606625258799172,0.5,0.4782608695652174,0.17507004737854004
SGDClassifier,0.5217391304347826,0.4833333333333333,,0.5084625519408128,0.5445652173913044,0.5217391304347826,0.024908065795898438
KNeighborsClassifier,0.4782608695652174,0.44000000000000006,0.8478693536911333,0.3631590002100399,0.44859335038363174,0.4782608695652174,0.05144858360290527
DecisionTreeClassifier,0.391304347826087,0.42333333333333334,0.6329426507445083,0.38854382332643206,0.5624223602484473,0.391304347826087,0.019054651260375977
RidgeClassifierCV,0.391304347826087,0.42333333333333334,,0.3304916169366297,0.30138339920948615,0.391304347826087,0.0402069091796875
RidgeClassifier,0.34782608695652173,0.3733333333333333,,0.29529492956602926,0.28254281949934124,0.34782608695652173,0.013867855072021484
ExtraTreeClassifier,0.391304347826087,0.35333333333333333,0.6125853850312054,0.37628458498023715,0.37577639751552794,0.391304347826087,0.022350072860717773
AdaBoostClassifier,0.34782608695652173,0.30666666666666664,0.7604139291109273,0.3417452113104287,0.3393374741200828,0.34782608695652173,0.1087503433227539
LabelPropagation,0.34782608695652173,0.3,,0.23188405797101447,0.2484472049689441,0.34782608695652173,0.025591373443603516
LabelSpreading,0.34782608695652173,0.3,,0.23188405797101447,0.2484472049689441,0.34782608695652173,0.023895740509033203
CalibratedClassifierCV,0.17391304347826086,0.27999999999999997,0.753265303070122,0.12700228832951946,0.15515771526001704,0.17391304347826086,0.43975400924682617
DummyClassifier,0.08695652173913043,0.2,0.5,0.01391304347826087,0.007561436672967864,0.08695652173913043,0.01637864112854004
