Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken
ExtraTreesClassifier,0.6043956043956044,0.607151983218917,,0.604819600423996,0.16117310523986816
LGBMClassifier,0.5934065934065934,0.5985106788710908,,0.588674188213995,0.1828916072845459
XGBClassifier,0.5714285714285714,0.583540236460717,,0.5619604566972989,0.19499778747558594
RandomForestClassifier,0.5714285714285714,0.5767353165522502,,0.5685775088609097,0.18044018745422363
BaggingClassifier,0.5494505494505495,0.554899885583524,,0.5389108466031544,0.04454541206359863
NuSVC,0.4835164835164835,0.49471205186880246,,0.4799540508159333,0.012138605117797852
LabelPropagation,0.4835164835164835,0.49075705568268496,,0.48381111641981206,0.011000394821166992
LabelSpreading,0.4835164835164835,0.49075705568268496,,0.48381111641981206,0.01004791259765625
SVC,0.4725274725274725,0.4783600305110603,,0.46675546675546675,0.018360376358032227
ExtraTreeClassifier,0.46153846153846156,0.4602812738367658,,0.462167029722628,0.008386373519897461
SGDClassifier,0.46153846153846156,0.4595318459191457,,0.4248734104344486,0.01192474365234375
KNeighborsClassifier,0.45054945054945056,0.4561441647597254,,0.4520227025721531,0.05025744438171387
LinearSVC,0.45054945054945056,0.44954424103737606,,0.45123905787922614,0.07961392402648926
DecisionTreeClassifier,0.43956043956043955,0.43982837528604113,,0.4393613712295031,0.012658834457397461
CalibratedClassifierCV,0.43956043956043955,0.4394479405034325,,0.44597622121888236,0.28484034538269043
RidgeClassifier,0.42857142857142855,0.4276725781845919,,0.4334080897134212,0.011999845504760742
LogisticRegression,0.42857142857142855,0.42725591151792525,,0.43190506972019566,0.02083873748779297
LinearDiscriminantAnalysis,0.42857142857142855,0.4236813501144165,,0.4297686967763694,0.002050161361694336
RidgeClassifierCV,0.4175824175824176,0.4145146834477498,,0.42234377659690114,0.012880802154541016
Perceptron,0.4065934065934066,0.40177345537757436,,0.40723806108421495,0.007578372955322266
PassiveAggressiveClassifier,0.4065934065934066,0.3978422959572845,,0.3933707429310844,0.012456655502319336
AdaBoostClassifier,0.38461538461538464,0.39003337147215866,,0.38759426653404294,0.10928750038146973
QuadraticDiscriminantAnalysis,0.3956043956043956,0.386158466819222,,0.3735105671995004,0.015613317489624023
GaussianNB,0.37362637362637363,0.3729443173150267,,0.3721605883181982,0.010176658630371094
BernoulliNB,0.37362637362637363,0.3710364225781846,,0.3687696918466149,0.008001565933227539
NearestCentroid,0.34065934065934067,0.3420385202135774,,0.33671653644293864,0.007999420166015625
DummyClassifier,0.25274725274725274,0.25,,0.10198573356468092,0.011127233505249023
